collection-date,vpn-id,customer-name,customer-abbr,vpn-type,topology,running-no,label-mode,huawei-label-mode,multicast,secondary-running-no,cisco-domain-topology,huawei-domain-topology
26/03/2021 15:53:00,IPR20011_CHINA,CHINA,CHINA,enterprise,full-mesh,20011,per-ce,,,,,
26/03/2021 15:53:00,IPR20012_PHILBUS,PHILIPPINE BUSINESS BANK,PBB01,enterprise,full-mesh,20012,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR20013_RCBC,RCBC,RCBC,enterprise,full-mesh,20013,per-ce,,,,,
26/03/2021 15:53:00,IPR20014_BEAUTYP,BEAUTYP,BEAUTYP,enterprise,full-mesh,20014,per-ce,,,,,
26/03/2021 15:53:00,IPR20015_BDO_NET,BDO_NET,BDO_NET,enterprise,full-mesh,20015,per-ce,,,,,
26/03/2021 15:53:00,IPR20016_METBANK,METBANK,METBANK,enterprise,full-mesh,20016,per-ce,,,,,
26/03/2021 15:53:00,IPR20017_PSBANK,PSBANK,PSBANK,enterprise,full-mesh,20017,per-ce,,,,,
26/03/2021 15:53:00,IPR20018_EWBANK,EWBANK,EWBANK,enterprise,full-mesh,20018,per-ce,,,,,
26/03/2021 15:53:00,IPR20019_AUBANK,AUBANK,AUBANK,enterprise,full-mesh,20019,per-ce,,,,,
26/03/2021 15:53:00,IPR20020_LBCXPRS,LBCXPRS,LBCXPRS,enterprise,full-mesh,20020,per-ce,,,,,
26/03/2021 15:53:00,IPR20021_RCBCVPN,RCBCVPN,RCBCVPN,enterprise,full-mesh,20021,per-ce,,,,,
26/03/2021 15:53:00,IPR20022_ROB-SAV,ROB-SAV,ROB-SAV,enterprise,full-mesh,20022,per-ce,,,,,
26/03/2021 15:53:00,IPR20023_BPI03,BPI03,BPI03,enterprise,full-mesh,20023,per-ce,,,,,
26/03/2021 15:53:00,IPR20024_BIGGAME,BIGGAME,BIGGAME,enterprise,full-mesh,20024,per-ce,,,,,
26/03/2021 15:53:00,IPR20025_AMBER,AMBER,AMBER,enterprise,full-mesh,20025,per-ce,,,,,
26/03/2021 15:53:00,IPR20026_MBTCDUO,MBTCDUO,MBTCDUO,enterprise,full-mesh,20026,per-ce,,,,,
26/03/2021 15:53:00,IPR20027_JRSBC,JRSBC,JRSBC,enterprise,full-mesh,20027,per-ce,,,,,
26/03/2021 15:53:00,IPR20028_ONEFOOD,ONEFOOD,ONEFOOD,enterprise,full-mesh,20028,per-ce,,,,,
26/03/2021 15:53:00,IPR20029_METBANK,METBANK,METBANK,enterprise,full-mesh,20029,per-vrf,,,,,
26/03/2021 15:53:00,IPR20030_PHILBUS,PHILBUS,PHILBUS,enterprise,full-mesh,20030,per-vrf,,,,,
26/03/2021 15:53:00,IPR20031_IPTVMVPN,IPTVMVPN,IPTVMVPN,enterprise,full-mesh,20031,per-ce,,,,,
26/03/2021 15:53:00,IPR20033_IPTSNCR,FTTH_NMS,FTTH_NMS,enterprise,full-mesh,20033,per-ce,,,,,
26/03/2021 15:53:00,IPR20034_LIFELNE,LIFELNE,LIFELNE,enterprise,full-mesh,20034,per-ce,,,,,
26/03/2021 15:53:00,IPR20035_GRNCRSS,GRNCRSS,GRNCRSS,enterprise,full-mesh,20035,per-ce,,,,,
26/03/2021 15:53:00,IPR20037_BEEP88,BEEP88 TECHNOLOGICAL VENTURES INC.,BTVI02,enterprise,full-mesh,35001,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR23361_UCPBVPN,UNITED COCONUT PLANTERS BANK,UCPB01,enterprise,full-mesh,23361,per-ce,,,,,
